Vendor,Model,Build,Extract 22.2,Extract 22.1,Build 22.2,Build 22.1,Ebay,rootable,SOC,GPU,Released,Conflict
OnePlus,OnePlus_5,cheeseburger,fails,,,,,,Qualcomm MSM8998 Snapdragon 835,,2017,
OnePlus,OnePlus_5T,dumpling,,,,,350,,Qualcomm MSM8998 Snapdragon 835,,2017,
OnePlus,OnePlus_6,enchilada,completes,,,,100,,Qualcomm SDM845 Snapdragon 845,,2018,
OnePlus,OnePlus_6T,fajita,completes,,,,100,,Qualcomm SM8150 Snapdragon 855,,2018,
OnePlus,OnePlus_7,guacamoleb,fails,fails,,,150,yes,Qualcomm MSM8998 Snapdragon 835,,2019,
OnePlus,OnePlus_7T,hotdogb,fails,,,,100,,Qualcomm MSM8998 Snapdragon 835,,2019,
OnePlus,OnePlus_7_Pro,guacamole,fails,fails,fails,,350,yes,Qualcomm SM8150 Snapdragon 855,,2019,
OnePlus,OnePlus_7T_Pro,hotdog,fails,fails,fails,,150,,Qualcomm SM8150-AC Snapdragon 855,,2019,
OnePlus,Nord_N10,billie,,,,,,,Qualcomm SM6350 Snapdragon 690 5G,,2020,
OnePlus,OnePlus_8,instantnoodle,completes,completes,completes,completes,,yes,Qualcomm SM8250 Snapdragon 865,,2020,
OnePlus,OnePlus_8_Pro,instantnoodlep,completes,fails,completes,,100,,Qualcomm SM8250 Snapdragon 865,,2020,
OnePlus,OnePlus_8T,kebab,completes,completes,fails,completes,100,,Qualcomm SM8250 Snapdragon 865,,2020,
OnePlus,Nord_200,dre,completes,,,,,,Qualcomm SM4350 Snapdragon 480,,2021,
OnePlus,OnePlus_9R,lemonades,completes,,,,200,,Qualcomm SM8250 Snapdragon 865,,2021,
OnePlus,OnePlus_9RT,martini,completes,,,,,,Qualcomm SM8250 Snapdragon 865,,2021,
OnePlus,OnePlus_9_Pro,lemonadep,completes,completes,fails,fails,400,,Qualcomm SM8350 Snapdragon 888,,2021,
OnePlus,Nord_CE2,oscaro,completes,,,,,,Qualcomm SM6375 Snapdragon 695,,2022,
OnePlus,Nord_N20_5G,gunnar,fails,,,,,,Qualcomm SM6375 Snapdragon 695,,2022,
OnePlus,Nord_N30,larry,completes,,,,,,ÿQualcomm SM6375 Snapdragon 695 5G,,2023,
OnePlus,OnePlus_11_5G,salami,completes,,,,330,,Qualcomm SM8550 Snapdragon 8 Gen2,,2023,
,,,,,,,,,,,,
Google,Pixel,sailfish,fails,,,,,,Qualcomm MSM8996 Pro Snapdragon 821,,2016,
Google,Pixel_XL,marlin,completes,,,,,,Qualcomm MSM8996 Pro Snapdragon 821,,2016,
Google,Pixel_2,walleye,fails,,,,,,Qualcomm SDM835 Snapdragon 835,,2017,
Google,Pixel_2XL,taimen,fails,,,,,,Qualcomm SDM835 Snapdragon 835,,2017,
Google,Pixel_3,blueline,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Google,Pixel_3XL,crosshatch,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Google,Pixel_3A,sargo,,,,,,,Qualcomm SDM670 Snapdragon 670,,2019,
Google,Pixel_3A_XL,bonito,completes,,,,,,Qualcomm SDM670 Snapdragon 670,,2019,
Google,Pixel_4XL,coral,completes,,,,,,Qualcomm SM7250 Snapdragon 765G,,2019,
Google,Pixel_4,flame,completes,,,,,,Qualcomm SM8150 Snapdragon 855,,2019,
Google,ADT_3,deadpool,completes,,,,,,Amlogic S905Y2,,2020,
Google,Pixel_4A,sunfish,completes,,,,,,Qualcomm SM7250 Snapdragon 765G,,2020,
Google,Pixel_4A_5G,bramble,completes,,,,,,Qualcomm SM7250 Snapdragon 765G,,2020,
Google,Pixel_5,redfin,completes,,,,,,Qualcomm SM7250 Snapdragon 765G,,2020,Qualcomm SM7250-AB Snapdragon 765G
Google,Pixel_6,oriole,completes,,,,,,Google Tensor GS101,,2021,
Google,Pixel_6_Pro,raven,completes,,,,,,Google Tensor GS101,,2021,
Google,Pixel_5A,barbet,completes,,,,,,Qualcomm SM7250 Snapdragon 765G,,2021,
Google,Pixel_6A,bluejay,completes,completes,completes,completes,150,,Google Tensor GS101,,2022,
Google,Pixel_7,panther,completes,completes,,completes,150,,Google Tensor GS201,,2022,
Google,Pixel_7_Pro,cheetah,completes,completes,,completes,,,Google Tensor GS201,,2022,
Google,Pixel_8,shiba,completes,completes,,completes,200,,Google Tensor G3,,2023,
Google,Pixel_8_Pro,husky,completes,completes,,completes,,,Google Tensor G3,,2023,
Google,Pixel_7A,lynx,fails,completes,,completes,130,yes,Google Tensor GS201,,2023,
Google,Pixel_Fold,felix,completes,fails,,,300,,Google Tensor GS201,,2023,
Google,Pixel_Tablet,tangorpro,completes,,,,,,Google Tensor GS201,,2023,
Google,Pixel_8A,akita,completes,completes,completes,completes,200,,Google Tensor G3,,2024,
Google,Pixel_9_Pro,caiman,completes,,completes,,,,Google Tensor G3,,2024,
Google,Pixel_9_Pro_Fold,comet,completes,fails,,,,,Google Tensor G3,,2024,
Google,Pixel_9,tokay,completes,completes,completes,completes,400,yes,Google Tensor G4,,2024,
,,,,,,,,,,,,
Motorola,Moto_X4,payton,fails,,,,,,Qualcomm SDM630 Snapdragon 630,,2017,
Motorola,Moto_G6_Plus,evert,fails,,,,,,Qualcomm SDM630 Snapdragon 630,,2018,
Motorola,Moto_G7,river,fails,,,,,,Qualcomm SDM632 Snapdragon 632,,2019,
Motorola,Moto_G7_Power,ocean,completes,,,,,,Qualcomm SDM632 Snapdragon 632,,2019,
Motorola,Moto_G7P_Plus,lake,fails,,,,,,Qualcomm SDM636 Snapdragon 636,,2019,
Motorola,Moto_Z3,messi,fails,,,,,,Qualcomm SDM636 Snapdragon 636,,2019,
Motorola,ThinkPhone,bronco,completes,,,,,,Qualcomm SM8475 Snapdragon 8 Gen1,,2019,
Motorola,One_Action,troika,completes,,,,,,Samsung Exynos 9609,,2019,
Motorola,One_Vision,kane,completes,,,,,,Samsung Exynos 9609,,2019,
Motorola,Moto_E7_Plus,guam,fails,,,,,,Qualcomm SM4250 Snapdragon 460,,2020,
Motorola,Moto_G9,guamp,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2020,
Motorola,Moto_G9_Power,cebu,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2020,
Motorola,Edge_,racer,fails,,,,120,,Qualcomm SM7250 Snapdragon 765G,,2020,
Motorola,Moto G_5G,kiev,completes,fails,completes,,100,,Qualcomm SM7250 Snapdragon 765G,,2020,
Motorola,Moto_G_5G_Plus,nairo,fails,,,,,,Qualcomm SM7250 Snapdragon 765G,,2020,
Motorola,Moto_G5G_Plus,nairo,completes,,,,,,Qualcomm SM7250 Snapdragon 765G,,2020,
Motorola,Moto_G10,capri,fails,,,,,,Qualcomm SM4250 Snapdragon 460,,2021,
Motorola,Defy_2021,bathena,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2021,
Motorola,Moto_G_Power,borneo,completes,,,,,,Qualcomm SM6115 Snapdragon 662,,2021,
Motorola,Moto_G30,caprip,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2021,
