vendor,model,build,path,file,size,type,released
Google,Pixel_4A,sunfish,radio,abl.img,1048576,UEFIBOOT,2020
Google,Pixel_4A,sunfish,radio,xbl.img,3375104,UEFIBOOT,2020
Google,Pixel_4A,sunfish,radio,aop.img,167936,UNKNOWN,2020
Google,Pixel_4A,sunfish,radio,devcfg.img,45056,UNKNOWN,2020
Google,Pixel_4A,sunfish,radio,uefisecapp.img,126976,UNKNOWN,2020
Google,Pixel_4A,sunfish,vendor/lib64/camera,ghawb_para_lut.bin,792496,UNKNOWN,2020
Google,Pixel_4A,sunfish,vendor/lib64/camera,ghawb_para_lut_imx363.bin,701004,UNKNOWN,2020
Google,Pixel_4A,sunfish,vendor/lib64/camera,ghawb_para_lut_imx355.bin,384856,UNKNOWN,2020
Google,Pixel_4A,sunfish,vendor/firmware,a612_rgmu.bin,3072,UNKNOWN,2020
Google,Pixel_4A,sunfish,vendor/firmware/citadel,ec.bin,524288,UNKNOWN,2020
Google,Pixel_4A,sunfish,modem/image,version.cfg,33,UNKNOWN,2020
Google,Pixel_4A,sunfish,modem/image,qdsp6m.qdb,5266577,UNKNOWN,2020
Google,Pixel_4A,sunfish,modem/image,modemr.jsn,562,UNKNOWN,2020
Google,Pixel_4A,sunfish,radio,boot.img,67108864,BOOT,2020
Google,Pixel_4A,sunfish,radio,tz.img,2064384,BOOT,2020
Google,Pixel_4A,sunfish,radio,dtbo.img,8388608,DTB,2020
Google,Pixel_4A,sunfish,radio,hyp.img,397312,SECUREBOOT,2020
Google,Pixel_4A,sunfish,radio,keymaster.img,253952,SECURITY,2020
Google,Pixel_4A,sunfish,radio,modem.img,74125312,CELL_WIFI_GPS_BLUETOOTH,2020
Google,Pixel_4A,sunfish,radio,qupfw.img,53248,ELF64,2020
Google,Pixel_4A,sunfish,radio,xbl_config.img,90112,ELF64,2020
Google,Pixel_4A,sunfish,vendor/firmware,ipa_fws.mdt,7020,ELF64,2020
Google,Pixel_4A,sunfish,vendor/firmware,venus.mdt,7020,ELF64,2020
Google,Pixel_4A,sunfish,vendor/firmware,cmnlib64.mdt,20384,ELF64,2020
